"x","y","nome_deputado","nome","partido","uf","twitter","ordem","Partido"
0.1342725825,-0.1195309013,"betofaropt","BETO FARO","PT","PA","betofaropt","NA","PT"
0.1223808196,0.014288112,"betomansur10","BETO MANSUR","PRB","SP","betomansur10","NA","resto"
0.0243474515,-0.018685969,"betorosado","BETO ROSADO","PP","RN","betorosado","NA","resto"
-0.0155555202,-0.1605662577,"blogdabenedita","BENEDITA DA SILVA","PT","RJ","blogdabenedita","NA","PT"
-0.1674597178,-0.1277217686,"bohngass","BOHN GASS","PT","RS","bohngass","NA","PT"
-0.0268948922,0.1888396816,"bolsonarosp","EDUARDO BOLSONARO","PSC","SP","bolsonarosp","NA","resto"
0.0350910653,0.1209373192,"brunoaraujo4511","BRUNO ARAÚJO","PSDB","PE","brunoaraujo4511","NA","PSDB"
0.1868836096,0.0531500916,"brunocovas","BRUNO COVAS","PSDB","SP","brunocovas","NA","PSDB"
0.0419034457,0.0333238946,"cabodaciolo","CABO DACIOLO","S.PART.","RJ","cabodaciolo","NA","resto"
0.0435538303,-0.0564958442,"cacaleao","CACÁ LEÃO","PP","BA","cacaleao","NA","resto"
