Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@gabriel_chalita,político,-10,3,3,1,,,12,,4,2,2,,1,,1,3,,6,8,,,,18,5,,1,,1,,3,74
@BlogdoMiro,mídia,-27,3,10,1,,1,5,,,1,1,,1,,1,4,,1,5,,1,3,32,2,,,,,,2,74
@revistasuper,mídia,-5,3,2,3,,,7,,7,3,1,2,2,,1,3,,6,9,,,2,14,4,,,,1,,3,73
@veramagalhaes,jornalista,1,8,1,1,,,8,1,4,1,3,,1,,1,1,,5,16,,,1,15,2,,,,1,,3,73
@TVNBR,mídia,-23,2,2,3,,,9,,3,1,3,,4,,1,2,,6,2,1,,2,25,2,,,1,1,,3,73
@joaquimboficial,personalidade,15,4,,2,,,8,,6,2,3,2,,1,,4,1,6,20,,,1,5,4,,,1,,1,2,73
@depChicoAlencar,deputado,-10,1,4,1,,,8,,4,2,3,,3,,1,4,,5,8,,,3,18,3,,1,,,1,3,73
@uneoficial,"Instituição, partido, empresa",-33,,8,2,,,3,,2,1,1,,1,,1,3,,3,4,,,2,37,1,,,1,,,2,72
@ReutersBrazil,mídia,-5,2,1,3,,,9,,7,,4,1,3,,1,4,,6,9,,,2,14,3,,,,1,,2,72
@ptnacional,"Instituição, partido, empresa",-49,1,3,2,,,5,,1,,,,1,,1,2,,,2,,1,,51,1,,,,,,1,72
@luiza_erundina,deputado,-17,,3,2,,,4,,1,2,3,,4,,1,8,,3,8,,,4,25,3,,,,1,,,72
@diImabr,personalidade,-29,1,4,2,,,7,,3,2,2,,1,,1,4,,3,3,1,1,1,32,3,,,,,,1,72
@eduardopaes_,político,-3,2,3,1,,,12,,8,,6,2,1,1,1,3,,5,8,1,,1,11,2,,,,,,4,72
@marchezan_,deputado,14,5,1,3,,,8,,7,2,1,,1,,,3,,3,20,,,1,6,4,,,2,,,4,71
@jeanwyllys_real,deputado,-20,1,5,1,,,4,,3,1,3,,2,,1,6,,2,7,,1,3,27,1,,1,1,,,1,71
@ColunaCH,mídia,3,6,2,1,,,14,,7,1,4,,2,1,,3,,5,10,,,,7,3,,,1,,,4,71
@BetoAlbuquerque,deputado,-1,1,3,2,,,8,,5,3,2,,3,,1,10,,5,9,,,1,10,4,,,,,,4,71
@ONUBrasil,"Instituição, partido, empresa",-12,1,3,,,,10,,4,3,,,1,,,2,,5,9,1,,2,21,4,,,,1,,2,69
@noaheverett,personalidade,-7,2,1,2,,,9,1,7,3,2,,1,,1,3,,8,6,,,1,13,3,,1,1,2,,2,69
@duarte_nogueira,deputado,24,6,,1,,,11,,2,2,2,,1,,,2,,4,27,,,,3,2,,,,1,,5,69
@jornalodia,mídia,-11,4,1,1,,,9,,4,,5,2,1,,,2,,7,6,1,,,17,3,,,,,1,5,69
@indio,deputado,13,7,,3,,,4,1,4,4,5,,2,,,1,1,13,16,,,,3,3,,,,,,2,69
@PTnaCamara,"Instituição, partido, empresa",-52,,2,1,,,4,,,,1,,,,1,,,1,1,,1,,53,2,,,,,,1,68
@KatiaAbreu,político,5,4,,4,,,15,1,10,1,2,1,2,,,4,,9,7,,,,2,5,,,,,,1,68
@LeonardoBoff,personalidade,-34,,3,1,,,6,,,,1,,,,1,3,,2,4,,1,4,38,2,,,,,,2,68
@diogomainardi,jornalista,13,4,,3,,,6,1,5,6,3,,,,1,4,2,6,17,,,,4,2,,,1,,,3,68
@CiroFGomes,político,-1,,2,2,,1,3,1,8,1,2,,4,,1,6,,5,10,,,1,11,5,,1,,,,4,68
@cartamaior,mídia,-28,,6,2,,1,4,,1,,1,,1,,1,4,,4,3,1,1,3,31,2,,,,,,2,68
@TV_Justica,"Instituição, partido, empresa",-8,2,1,1,,1,10,1,5,3,2,1,2,,1,3,1,8,5,1,,,13,3,,,1,,,2,67
@UOLPolitica,mídia,2,4,2,2,,1,11,,6,2,3,,1,,,3,,2,13,,1,1,11,1,,,1,,,2,67
@TrabalhoGovBr,"Instituição, partido, empresa",-24,,2,6,,,4,,5,1,3,,1,1,1,3,1,5,1,1,,1,25,1,,1,1,,,3,67
@millorfernandes,personalidade,-4,5,1,2,,,6,1,3,2,1,1,1,,1,1,,6,9,,,3,13,3,,1,1,1,,5,67
@MinCidades,"Instituição, partido, empresa",-20,,,1,,,7,,7,1,3,,3,,1,2,,7,4,1,,1,24,3,,,,,,2,67
@LucianoHuck,personalidade,4,4,1,1,,,4,1,5,3,2,2,1,,,5,,7,12,,,2,8,2,,,1,1,,5,67
@jandira_feghali,deputado,-23,,9,2,,1,6,,3,,,,2,,1,3,,3,4,,1,3,27,1,,,,,,1,67
